Region;Comuna;Codigo comuna;Fecha;Clave;Casos Diarios;Casos Acumulados;Muertes;Casos Activos;Recuperados;Recuperados Diarios;Día;Fallecidos Diarios;on-off;Max Día;;FINAL;Plantilla;;;No Informado
La Araucanía;Toltén;9118;43893;911843893;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43894;911843894;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43895;911843895;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43896;911843896;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43897;911843897;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43898;911843898;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43899;911843899;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43900;911843900;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43901;911843901;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43902;911843902;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43903;911843903;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43904;911843904;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43905;911843905;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43906;911843906;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43907;911843907;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43908;911843908;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43909;911843909;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43910;911843910;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43911;911843911;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43912;911843912;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43913;911843913;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43914;911843914;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43915;911843915;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43916;911843916;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43917;911843917;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43918;911843918;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43919;911843919;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43920;911843920;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43921;911843921;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43922;911843922;1;1;1;0;0;0;1;1;START;39;;;;;;
La Araucanía;Toltén;9118;43923;911843923;1;1;0;1;0;0;1;0;START;39;;;;;;
La Araucanía;Toltén;9118;43924;911843924;1;1;0;1;0;0;1;0;START;39;;;;;;
La Araucanía;Toltén;9118;43925;911843925;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43926;911843926;1;1;0;1;0;0;1;0;START;39;;;;;;
La Araucanía;Toltén;9118;43927;911843927;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43928;911843928;1;1;0;1;0;0;1;0;START;39;;;;;;
La Araucanía;Toltén;9118;43929;911843929;1;1;0;1;0;0;1;0;START;39;;;;;;
La Araucanía;Toltén;9118;43930;911843930;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43931;911843931;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43932;911843932;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43933;911843933;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43934;911843934;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43935;911843935;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43936;911843936;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43937;911843937;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43938;911843938;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43939;911843939;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43940;911843940;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43941;911843941;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43942;911843942;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43943;911843943;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43944;911843944;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43945;911843945;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43946;911843946;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43947;911843947;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43948;911843948;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43949;911843949;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43950;911843950;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43951;911843951;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43952;911843952;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43953;911843953;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43954;911843954;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43955;911843955;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43956;911843956;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43957;911843957;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43958;911843958;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43959;911843959;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43960;911843960;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43961;911843961;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43962;911843962;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43963;911843963;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43964;911843964;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43965;911843965;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43966;911843966;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43967;911843967;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43968;911843968;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43969;911843969;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43970;911843970;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43971;911843971;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43972;911843972;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43973;911843973;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43974;911843974;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43975;911843975;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43976;911843976;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43977;911843977;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43978;911843978;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43979;911843979;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43980;911843980;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43981;911843981;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43982;911843982;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43983;911843983;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43984;911843984;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43985;911843985;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43986;911843986;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43987;911843987;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43988;911843988;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43989;911843989;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43990;911843990;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43991;911843991;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43992;911843992;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43993;911843993;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43994;911843994;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43995;911843995;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43996;911843996;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43997;911843997;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43998;911843998;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;43999;911843999;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44000;911844000;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44001;911844001;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44002;911844002;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44003;911844003;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44004;911844004;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44005;911844005;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44006;911844006;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44007;911844007;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44008;911844008;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44009;911844009;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44010;911844010;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44011;911844011;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44012;911844012;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44013;911844013;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44014;911844014;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44015;911844015;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44016;911844016;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44017;911844017;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44018;911844018;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44019;911844019;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44020;911844020;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44021;911844021;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44022;911844022;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44023;911844023;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44024;911844024;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44025;911844025;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44026;911844026;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44027;911844027;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44028;911844028;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44029;911844029;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44030;911844030;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44031;911844031;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44032;911844032;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44033;911844033;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44034;911844034;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44035;911844035;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44036;911844036;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44037;911844037;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44038;911844038;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44039;911844039;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44040;911844040;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44041;911844041;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44042;911844042;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44043;911844043;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44044;911844044;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44045;911844045;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44046;911844046;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44047;911844047;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44048;911844048;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44049;911844049;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44050;911844050;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44051;911844051;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44052;911844052;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44053;911844053;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44054;911844054;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44055;911844055;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44056;911844056;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44057;911844057;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44058;911844058;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44059;911844059;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44060;911844060;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44061;911844061;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44062;911844062;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44063;911844063;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44064;911844064;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44065;911844065;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44066;911844066;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44067;911844067;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44068;911844068;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44069;911844069;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44070;911844070;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44071;911844071;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44072;911844072;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44073;911844073;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44074;911844074;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44075;911844075;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44076;911844076;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44077;911844077;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44078;911844078;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44079;911844079;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44080;911844080;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44081;911844081;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44082;911844082;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44083;911844083;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44084;911844084;0;0;0;0;0;0;0;0;OFF;39;;;;;;
La Araucanía;Toltén;9118;44085;911844085;0;0;0;0;0;0;0;0;OFF;39;;;;;;
